CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
06-01-0116-46,06-039,SANTA ROSA,CUILAPA,"CENTRO DE EDUCACIӎ EXTRAESCOLAR ""SANTA ROSITA""",CENTRO PREVENTIVO EL BOQUERON,30157695,JORGE BALDOMERO GONZALEZ BARRERA,GRICELDA ESCOBAR LEMUS,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0118-46,06-039,SANTA ROSA,CUILAPA,"""CENTRO DE EDUCACIӎ EXTRAESCOLAR -CEEX- DEPARTAMENTAL""","4A. CALLE 2-55, ZONA 4 BARRIO EL LLANITO, CUILAPA, SANTA ROSA",78865585,JORGE BALDOMERO GONZALEZ BARRERA,MARTA JULIA BARRERA BARRERA DE ALVAREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,SANTA ROSA
06-01-0119-46,06-001,SANTA ROSA,CUILAPA,"COLEGIO CATӌICO ECO-TECNOLӇICO ""SAGRADO CORAZON DE JESړ""","EL BOQUERӎ, KILӍETRO 66",35702888,IRMA YOLANDA CHACON ARROYO,JUANA MAŔ TELLO GARĆ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0122-46,06-001,SANTA ROSA,CUILAPA,COLEGIO TECNOLӇICO BILING܅ EL HERMANO PEDRO,"COLONIA CHINA, BARRIO LA PARROQUIA",78865470,IRMA YOLANDA CHACON ARROYO,CɓAR AUGUSTO MIRANDA QUINTANILLA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN D́ A LA SEMANA),SANTA ROSA
06-01-1070-46,06-001,SANTA ROSA,CUILAPA,COLEGIO PARTICULAR MIXTO BILINGUE SANTA FAMILIA,ALDEA SAN JUAN DE ARANA,77254514,IRMA YOLANDA CHACON ARROYO,DAVID GUILLERMO BARRIENTOS VALDEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-1515-46,25-000,SANTA ROSA,CUILAPA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),CUILAPA,,SONIA HAYDEE REYES MONTERROSO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SANTA ROSA
06-01-1675-46,06-001,SANTA ROSA,CUILAPA,COLEGIO TECNOLOGICO BILINGUE EL HERMANO PEDRO,"COLONIA CHINA, BARRIO LA PARROQUIA",78865470,IRMA YOLANDA CHACON ARROYO,CɓAR AUGUSTO MIRANDA QUINTANILLA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-1989-46,06-001,SANTA ROSA,CUILAPA,COLEGIO TECNICO INDUSTRIAL EMANUEL,"COLONIA CHINA, BARRIO LA PARROQUIA",,IRMA YOLANDA CHACON ARROYO,MARLEN JANETH LӐEZ CALDERON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-02-0005-46,06-027,SANTA ROSA,BARBERENA,INSTITUTO MIXTO DE DIVERSIFICADO POR COOPERATIVA DE ENSEсNZA TECNOLOGICO DE SURORIENTE,KM 55 CARRETERA A EL SALVADOR,78232493,YESENIA ALEJANDRA HERRERA MONTERROSO DE PIVARAL,ERWIN FEDERICO ZEA GARCIA,DIVERSIFICADO,COOPERATIVA,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SANTA ROSA
06-02-0011-46,06-027,SANTA ROSA,BARBERENA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA FRAY BARTOLOME DE LAS CASAS,78882045,YESENIA ALEJANDRA HERRERA MONTERROSO DE PIVARAL,JUAN ALBERTO MONZӎ GARĆ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
